property_id,price,price_per_sqft,beds,baths,sqft,prop_type,address,city,state,postal_code,latitude,longitude,list_date
5972158880,385000,234.7560975609756,3.0,2.0,1640.0,Townhomes,2118 Princess Anne Ct,Bowie,MD,20716,38.918029,-76.730992,2025-10-20T15:58:00.000000Z
6509646791,370000,200.0,3.0,3.0,1850.0,Condos,4634 Deepwood Ct Unit 89E,Bowie,MD,20720,38.953324,-76.807816,2025-10-20T15:40:03.000000Z
6013647246,515000,245.82338902147973,4.0,2.0,2095.0,Single Family,2228 Hindle Ln,Bowie,MD,20716,38.947231,-76.724459,2025-10-20T15:03:40.000000Z
5284020507,475000,264.7714604236343,3.0,4.0,1794.0,Townhomes,12307 Castlewall Ct,Bowie,MD,20720,38.950634,-76.792597,2025-10-20T13:58:42.000000Z
6253432064,435000,287.6984126984127,4.0,2.0,1512.0,Single Family,4020 Chelmont Ln,Bowie,MD,20715,38.991056,-76.741626,2025-10-20T13:42:40.000000Z
6354411396,535000,279.8117154811716,4.0,2.0,1912.0,Single Family,3414 Morlock Ln,Bowie,MD,20715,38.980403,-76.75256,2025-10-20T05:45:19.000000Z
5630110538,625000,249.003984063745,5.0,3.0,2510.0,Single Family,8106 Triple Crown Rd,Bowie,MD,20715,38.99996,-76.774162,2025-10-20T05:45:19.000000Z
5750736022,1600000,266.6666666666667,5.0,5.0,6000.0,Single Family,4600 Fairview Vista Dr,Bowie,MD,20720,38.953106,-76.78345,2025-10-19T17:51:58.000000Z
5505779981,500000,259.60539979231567,3.0,3.0,1926.0,Single Family,12021 Twin Cedar Ln,Bowie,MD,20715,38.973701,-76.754776,2025-10-19T13:06:50.000000Z
9385362497,474990,233.52507374631267,4.0,4.0,2034.0,Townhomes,16120 Meadow Glenn Dr,Bowie,MD,20716,38.895576,-76.726807,2025-10-19T00:00:00.000000Z
5505332790,435000,274.7946936197094,3.0,2.0,1583.0,Single Family,12304 Manvel Ln,Bowie,MD,20715,38.984888,-76.74949,2025-10-18T19:48:39.000000Z
6964660800,649900,178.15241228070175,4.0,3.0,3648.0,Single Family,11400 Chantilly Ln,Bowie,MD,20721,38.942923,-76.808874,2025-10-18T14:19:07.000000Z
5529678822,559000,223.06464485235435,5.0,3.0,2506.0,Single Family,3913 York Ln,Bowie,MD,20715,38.990103,-76.730627,2025-10-18T06:09:48.000000Z
